Offense,Month,Attempted,Completed,Total
,Oct - 2019,15,164,179
,Nov - 2019,22,132,154
,Dec - 2019,10,172,182
,Jan - 2020,20,167,187
,Feb - 2020,11,199,210
,Mar - 2020,9,184,193
,Apr - 2020,10,170,180
,May - 2020,19,199,218
,Jun - 2020,6,197,203
,Jul - 2020,9,241,250
,Aug - 2020,17,274,291
,Sep - 2020,14,278,292
,Oct - 2020,14,248,262
,Nov - 2020,12,237,249
,Dec - 2020,19,263,282
,Jan - 2021,9,229,238
,Feb - 2021,4,200,204
,Mar - 2021,22,276,298
,Apr - 2021,16,261,277
,May - 2021,15,265,280
,Jun - 2021,19,255,274
,Jul - 2021,10,263,273
,Aug - 2021,15,282,297
,Sep - 2021,13,244,257
,Oct - 2021,20,221,241
,Nov - 2021,17,206,223
,Dec - 2021,19,253,272
,Jan - 2022,12,223,235
,Feb - 2022,16,216,232
,Mar - 2022,14,250,264
,Apr - 2022,17,290,307
,May - 2022,22,285,307
,Jun - 2022,12,314,326
,Jul - 2022,24,279,303
,Aug - 2022,29,282,311
,Sep - 2022,21,275,296
,Oct - 2022,28,288,316
,Nov - 2022,15,281,296
,Dec - 2022,35,265,300
,Jan - 2023,14,270,284
,Feb - 2023,19,250,269
,Mar - 2023,30,317,347
,Apr - 2023,26,272,298
,May - 2023,20,350,370
,Jun - 2023,10,289,299
,Jul - 2023,19,312,331
,Aug - 2023,18,299,317
,Sep - 2023,19,296,315
,Oct - 2023,24,269,293
,Nov - 2023,8,301,309
,Dec - 2023,9,268,277
,Jan - 2024,13,250,263
,Feb - 2024,11,274,285
,Mar - 2024,13,287,300
,Apr - 2024,18,269,287
,May - 2024,20,343,363
,Jun - 2024,29,317,346
,Jul - 2024,17,350,367
,Aug - 2024,20,367,387
,Sep - 2024,14,325,339
,Oct - 2024,19,316,335
,Nov - 2024,28,327,355
,Dec - 2024,16,278,294
11A - Rape,Jan - 2019,11,565,576
,Feb - 2019,7,464,471
,Mar - 2019,25,481,506
,Apr - 2019,19,527,546
,May - 2019,18,563,581
,Jun - 2019,16,556,572
,Jul - 2019,15,554,569
,Aug - 2019,19,627,646
,Sep - 2019,19,644,663
,Oct - 2019,16,605,621
,Nov - 2019,17,617,634
,Dec - 2019,19,534,553
,Jan - 2020,18,784,802
,Feb - 2020,18,680,698
,Mar - 2020,18,676,694
,Apr - 2020,21,550,571
,May - 2020,21,721,742
,Jun - 2020,23,721,744
,Jul - 2020,22,696,718
,Aug - 2020,21,763,784
,Sep - 2020,37,773,810
,Oct - 2020,20,765,785
,Nov - 2020,23,854,877
,Dec - 2020,23,789,812
,Jan - 2021,24,"1,089","1,113"
,Feb - 2021,24,830,854
,Mar - 2021,25,"1,086","1,111"
,Apr - 2021,25,995,"1,020"
,May - 2021,33,"1,035","1,068"
,Jun - 2021,19,"1,045","1,064"
,Jul - 2021,28,984,"1,012"
,Aug - 2021,24,"1,001","1,025"
,Sep - 2021,24,"1,018","1,042"
,Oct - 2021,41,"1,102","1,143"
,Nov - 2021,19,935,954
,Dec - 2021,26,914,940
,Jan - 2022,19,"1,081","1,100"
,Feb - 2022,27,852,879
,Mar - 2022,21,"1,020","1,041"
,Apr - 2022,21,"1,006","1,027"
,May - 2022,31,"1,081","1,112"
,Jun - 2022,27,"1,044","1,071"
,Jul - 2022,17,"1,008","1,025"
,Aug - 2022,27,998,"1,025"
,Sep - 2022,24,"1,001","1,025"
,Oct - 2022,27,960,987
,Nov - 2022,19,828,847
,Dec - 2022,23,892,915
,Jan - 2023,19,"1,045","1,064"
,Feb - 2023,25,873,898
,Mar - 2023,37,"1,022","1,059"
,Apr - 2023,18,998,"1,016"
,May - 2023,34,"1,009","1,043"
,Jun - 2023,25,"1,056","1,081"
,Jul - 2023,37,981,"1,018"
,Aug - 2023,36,985,"1,021"
,Sep - 2023,25,929,954
,Oct - 2023,25,993,"1,018"
,Nov - 2023,14,840,854
,Dec - 2023,30,852,882
,Jan - 2024,24,973,997
,Feb - 2024,22,899,921
,Mar - 2024,23,977,"1,000"
,Apr - 2024,30,"1,011","1,041"
,May - 2024,25,"1,053","1,078"
,Jun - 2024,36,"1,049","1,085"
,Jul - 2024,28,"1,082","1,110"
,Aug - 2024,36,"1,001","1,037"
,Sep - 2024,24,"1,055","1,079"
,Oct - 2024,27,"1,072","1,099"
,Nov - 2024,36,967,"1,003"
,Dec - 2024,27,897,924
11B - Sodomy,Jan - 2019,6,147,153
,Feb - 2019,7,122,129
,Mar - 2019,5,106,111
,Apr - 2019,5,119,124
,May - 2019,5,128,133
,Jun - 2019,5,143,148
,Jul - 2019,6,122,128
,Aug - 2019,7,134,141
,Sep - 2019,9,154,163
,Oct - 2019,1,138,139
,Nov - 2019,3,158,161
,Dec - 2019,4,140,144
,Jan - 2020,8,190,198
,Feb - 2020,,148,148
,Mar - 2020,6,175,181
,Apr - 2020,5,136,141
,May - 2020,3,156,159
,Jun - 2020,6,169,175
,Jul - 2020,2,167,169
,Aug - 2020,1,200,201
,Sep - 2020,5,173,178
,Oct - 2020,4,196,200
,Nov - 2020,1,169,170
,Dec - 2020,7,190,197
,Jan - 2021,5,260,265
,Feb - 2021,5,199,204
,Mar - 2021,6,289,295
,Apr - 2021,6,279,285
,May - 2021,7,242,249
,Jun - 2021,4,252,256
,Jul - 2021,7,227,234
,Aug - 2021,4,248,252
,Sep - 2021,6,262,268
,Oct - 2021,7,274,281
,Nov - 2021,4,266,270
,Dec - 2021,2,252,254
,Jan - 2022,7,270,277
,Feb - 2022,6,228,234
,Mar - 2022,3,253,256
,Apr - 2022,2,229,231
,May - 2022,7,247,254
,Jun - 2022,4,245,249
,Jul - 2022,2,245,247
,Aug - 2022,6,217,223
,Sep - 2022,8,238,246
,Oct - 2022,8,233,241
,Nov - 2022,3,190,193
,Dec - 2022,4,214,218
,Jan - 2023,8,261,269
,Feb - 2023,8,199,207
,Mar - 2023,6,259,265
,Apr - 2023,2,198,200
,May - 2023,7,258,265
,Jun - 2023,6,239,245
,Jul - 2023,4,249,253
,Aug - 2023,6,287,293
,Sep - 2023,6,244,250
,Oct - 2023,8,269,277
,Nov - 2023,6,226,232
,Dec - 2023,11,258,269
,Jan - 2024,4,308,312
,Feb - 2024,5,256,261
,Mar - 2024,7,260,267
,Apr - 2024,10,275,285
,May - 2024,9,298,307
,Jun - 2024,10,288,298
,Jul - 2024,5,247,252
,Aug - 2024,9,309,318
,Sep - 2024,9,261,270
,Oct - 2024,6,268,274
,Nov - 2024,7,230,237
,Dec - 2024,9,215,224
11C - Sexual Assault with an Object,Jan - 2019,,57,57
,Feb - 2019,1,44,45
,Mar - 2019,1,51,52
,Apr - 2019,,66,66
,May - 2019,1,50,51
,Jun - 2019,,85,85
,Jul - 2019,2,62,64
,Aug - 2019,3,68,71
,Sep - 2019,2,53,55
,Oct - 2019,,58,58
