Offense,Month,Attempted,Completed,Total
,Oct - 2022,,"6,647","6,647"
,Nov - 2022,,"5,802","5,802"
,Dec - 2022,,"5,705","5,705"
,Jan - 2023,,"6,197","6,197"
,Feb - 2023,,"5,836","5,836"
,Mar - 2023,,"6,669","6,669"
,Apr - 2023,,"6,724","6,724"
,May - 2023,,"7,245","7,245"
,Jun - 2023,,"6,334","6,334"
,Jul - 2023,,"6,302","6,302"
,Aug - 2023,,"6,935","6,935"
,Sep - 2023,,"6,736","6,736"
,Oct - 2023,,"6,779","6,779"
,Nov - 2023,,"6,139","6,139"
,Dec - 2023,,"6,015","6,015"
,Jan - 2024,,"6,263","6,263"
,Feb - 2024,,"6,499","6,499"
,Mar - 2024,,"6,651","6,651"
,Apr - 2024,,"7,172","7,172"
,May - 2024,,"7,536","7,536"
,Jun - 2024,,"6,511","6,511"
,Jul - 2024,,"6,718","6,718"
,Aug - 2024,,"7,151","7,151"
,Sep - 2024,,"8,043","8,043"
,Oct - 2024,,"7,558","7,558"
,Nov - 2024,,"6,519","6,519"
,Dec - 2024,,"6,175","6,175"
200 - Arson,Jan - 2019,7,109,116
,Feb - 2019,6,114,120
,Mar - 2019,3,110,113
,Apr - 2019,7,123,130
,May - 2019,8,101,109
,Jun - 2019,4,139,143
,Jul - 2019,6,154,160
,Aug - 2019,6,138,144
,Sep - 2019,6,122,128
,Oct - 2019,4,132,136
,Nov - 2019,9,136,145
,Dec - 2019,5,150,155
,Jan - 2020,6,139,145
,Feb - 2020,6,198,204
,Mar - 2020,8,169,177
,Apr - 2020,10,191,201
,May - 2020,7,210,217
,Jun - 2020,10,187,197
,Jul - 2020,14,201,215
,Aug - 2020,4,213,217
,Sep - 2020,8,196,204
,Oct - 2020,11,229,240
,Nov - 2020,7,222,229
,Dec - 2020,8,197,205
,Jan - 2021,6,238,244
,Feb - 2021,10,201,211
,Mar - 2021,11,270,281
,Apr - 2021,11,274,285
,May - 2021,13,201,214
,Jun - 2021,11,225,236
,Jul - 2021,10,235,245
,Aug - 2021,9,230,239
,Sep - 2021,7,251,258
,Oct - 2021,4,225,229
,Nov - 2021,8,225,233
,Dec - 2021,16,280,296
,Jan - 2022,9,299,308
,Feb - 2022,6,247,253
,Mar - 2022,9,288,297
,Apr - 2022,9,225,234
,May - 2022,9,258,267
,Jun - 2022,8,218,226
,Jul - 2022,7,228,235
,Aug - 2022,8,216,224
,Sep - 2022,7,241,248
,Oct - 2022,4,237,241
,Nov - 2022,6,181,187
,Dec - 2022,6,218,224
,Jan - 2023,6,266,272
,Feb - 2023,11,191,202
,Mar - 2023,9,239,248
,Apr - 2023,5,216,221
,May - 2023,15,220,235
,Jun - 2023,6,177,183
,Jul - 2023,8,224,232
,Aug - 2023,8,218,226
,Sep - 2023,7,193,200
,Oct - 2023,5,209,214
,Nov - 2023,4,159,163
,Dec - 2023,12,260,272
,Jan - 2024,9,251,260
,Feb - 2024,9,253,262
,Mar - 2024,9,233,242
,Apr - 2024,3,254,257
,May - 2024,10,230,240
,Jun - 2024,8,173,181
,Jul - 2024,8,212,220
,Aug - 2024,8,199,207
,Sep - 2024,9,208,217
,Oct - 2024,11,233,244
,Nov - 2024,5,231,236
,Dec - 2024,9,219,228
210 - Extortion/Blackmail,Jan - 2019,14,12,26
,Feb - 2019,6,21,27
,Mar - 2019,13,25,38
,Apr - 2019,17,22,39
,May - 2019,21,18,39
,Jun - 2019,12,18,30
,Jul - 2019,25,13,38
,Aug - 2019,17,17,34
,Sep - 2019,22,16,38
,Oct - 2019,16,20,36
,Nov - 2019,9,20,29
,Dec - 2019,6,12,18
,Jan - 2020,14,19,33
,Feb - 2020,16,12,28
,Mar - 2020,16,23,39
,Apr - 2020,33,38,71
,May - 2020,22,31,53
,Jun - 2020,24,21,45
,Jul - 2020,24,32,56
,Aug - 2020,19,26,45
,Sep - 2020,27,33,60
,Oct - 2020,18,18,36
,Nov - 2020,37,22,59
,Dec - 2020,26,34,60
,Jan - 2021,25,42,67
,Feb - 2021,22,35,57
,Mar - 2021,42,34,76
,Apr - 2021,31,28,59
,May - 2021,25,41,66
,Jun - 2021,35,37,72
,Jul - 2021,30,33,63
,Aug - 2021,35,34,69
,Sep - 2021,27,29,56
,Oct - 2021,36,32,68
,Nov - 2021,27,43,70
,Dec - 2021,36,40,76
,Jan - 2022,26,43,69
,Feb - 2022,38,42,80
,Mar - 2022,47,46,93
,Apr - 2022,44,54,98
,May - 2022,26,44,70
,Jun - 2022,47,49,96
,Jul - 2022,44,58,102
,Aug - 2022,39,78,117
,Sep - 2022,44,63,107
,Oct - 2022,48,64,112
,Nov - 2022,40,56,96
,Dec - 2022,42,66,108
,Jan - 2023,68,74,142
,Feb - 2023,56,63,119
,Mar - 2023,60,78,138
,Apr - 2023,57,68,125
,May - 2023,66,83,149
,Jun - 2023,49,77,126
,Jul - 2023,56,80,136
,Aug - 2023,78,55,133
,Sep - 2023,70,65,135
,Oct - 2023,58,77,135
,Nov - 2023,43,55,98
,Dec - 2023,32,45,77
,Jan - 2024,43,53,96
,Feb - 2024,47,46,93
,Mar - 2024,52,60,112
,Apr - 2024,78,62,140
,May - 2024,52,89,141
,Jun - 2024,51,63,114
,Jul - 2024,41,73,114
,Aug - 2024,62,65,127
,Sep - 2024,126,78,204
,Oct - 2024,78,78,156
,Nov - 2024,55,56,111
,Dec - 2024,51,54,105
220 - Burglary/Breaking and Entering,Jan - 2019,416,"4,682","5,098"
,Feb - 2019,306,"4,260","4,566"
,Mar - 2019,375,"4,690","5,065"
,Apr - 2019,305,"5,092","5,397"
,May - 2019,403,"5,753","6,156"
,Jun - 2019,373,"5,411","5,784"
,Jul - 2019,416,"5,830","6,246"
,Aug - 2019,423,"5,497","5,920"
,Sep - 2019,364,"5,836","6,200"
,Oct - 2019,424,"5,855","6,279"
,Nov - 2019,329,"5,839","6,168"
,Dec - 2019,429,"6,238","6,667"
,Jan - 2020,428,"6,596","7,024"
,Feb - 2020,445,"5,796","6,241"
,Mar - 2020,508,"6,303","6,811"
,Apr - 2020,455,"6,183","6,638"
,May - 2020,503,"6,271","6,774"
,Jun - 2020,430,"6,293","6,723"
,Jul - 2020,461,"6,527","6,988"
,Aug - 2020,537,"6,912","7,449"
,Sep - 2020,493,"6,905","7,398"
,Oct - 2020,465,"7,586","8,051"
,Nov - 2020,554,"8,128","8,682"
,Dec - 2020,620,"8,205","8,825"
,Jan - 2021,506,"7,874","8,380"
,Feb - 2021,464,"7,034","7,498"
,Mar - 2021,483,"6,872","7,355"
,Apr - 2021,463,"7,110","7,573"
,May - 2021,511,"7,766","8,277"
,Jun - 2021,445,"7,279","7,724"
,Jul - 2021,535,"7,755","8,290"
,Aug - 2021,590,"7,708","8,298"
,Sep - 2021,535,"7,774","8,309"
,Oct - 2021,575,"8,398","8,973"
,Nov - 2021,580,"7,955","8,535"
,Dec - 2021,582,"8,457","9,039"
,Jan - 2022,482,"7,988","8,470"
,Feb - 2022,495,"7,396","7,891"
,Mar - 2022,490,"7,513","8,003"
,Apr - 2022,518,"7,738","8,256"
,May - 2022,500,"7,976","8,476"
,Jun - 2022,547,"8,181","8,728"
,Jul - 2022,531,"8,568","9,099"
,Aug - 2022,619,"8,174","8,793"
,Sep - 2022,463,"7,789","8,252"
,Oct - 2022,478,"8,609","9,087"
,Nov - 2022,468,"7,536","8,004"
,Dec - 2022,571,"8,124","8,695"
,Jan - 2023,428,"8,076","8,504"
,Feb - 2023,364,"6,918","7,282"
,Mar - 2023,506,"7,128","7,634"
,Apr - 2023,444,"7,137","7,581"
,May - 2023,499,"7,667","8,166"
,Jun - 2023,569,"7,672","8,241"
,Jul - 2023,572,"7,856","8,428"
,Aug - 2023,435,"6,968","7,403"
,Sep - 2023,449,"7,051","7,500"
,Oct - 2023,483,"7,191","7,674"
,Nov - 2023,469,"6,901","7,370"
,Dec - 2023,486,"7,535","8,021"
,Jan - 2024,597,"7,126","7,723"
,Feb - 2024,559,"6,650","7,209"
,Mar - 2024,474,"6,842","7,316"
,Apr - 2024,491,"6,869","7,360"
,May - 2024,498,"7,479","7,977"
,Jun - 2024,437,"7,110","7,547"
,Jul - 2024,659,"7,659","8,318"
,Aug - 2024,441,"7,008","7,449"
,Sep - 2024,430,"6,653","7,083"
,Oct - 2024,485,"6,905","7,390"
,Nov - 2024,447,"6,571","7,018"
,Dec - 2024,505,"7,438","7,943"
23A - Pocket-picking,Jan - 2019,4,111,115
,Feb - 2019,1,104,105
,Mar - 2019,3,129,132
,Apr - 2019,1,127,128
,May - 2019,2,164,166
,Jun - 2019,1,130,131
,Jul - 2019,1,127,128
,Aug - 2019,2,130,132
,Sep - 2019,1,158,159
,Oct - 2019,2,350,352
,Nov - 2019,1,179,180
,Dec - 2019,3,140,143
,Jan - 2020,1,112,113
,Feb - 2020,1,127,128
,Mar - 2020,2,115,117
,Apr - 2020,2,81,83
,May - 2020,1,86,87
,Jun - 2020,1,86,87
,Jul - 2020,1,87,88
,Aug - 2020,1,100,101
,Sep - 2020,2,91,93
,Oct - 2020,1,105,106
,Nov - 2020,1,106,107
,Dec - 2020,1,117,118
,Jan - 2021,2,115,117
,Feb - 2021,1,92,93
,Mar - 2021,2,130,132
,Apr - 2021,3,135,138
,May - 2021,2,139,141
,Jun - 2021,1,125,126
,Jul - 2021,2,134,136
,Aug - 2021,,134,134
,Sep - 2021,2,141,143
,Oct - 2021,1,297,298
,Nov - 2021,,129,129
,Dec - 2021,,134,134
,Jan - 2022,1,125,126
,Feb - 2022,,159,159
,Mar - 2022,,208,208
,Apr - 2022,1,160,161
,May - 2022,1,149,150
,Jun - 2022,2,143,145
,Jul - 2022,3,160,163
,Aug - 2022,1,136,137
,Sep - 2022,1,180,181
,Oct - 2022,4,306,310
,Nov - 2022,2,161,163
,Dec - 2022,2,191,193
,Jan - 2023,2,156,158
,Feb - 2023,2,146,148
,Mar - 2023,1,170,171
,Apr - 2023,5,244,249
,May - 2023,6,212,218
,Jun - 2023,9,226,235
,Jul - 2023,7,244,251
,Aug - 2023,6,251,257
,Sep - 2023,2,220,222
,Oct - 2023,2,367,369
,Nov - 2023,,173,173
,Dec - 2023,2,202,204
,Jan - 2024,2,186,188
,Feb - 2024,2,194,196
,Mar - 2024,3,250,253
,Apr - 2024,1,215,216
,May - 2024,4,207,211
,Jun - 2024,2,223,225
,Jul - 2024,9,196,205
,Aug - 2024,3,196,199
,Sep - 2024,2,179,181
,Oct - 2024,3,323,326
,Nov - 2024,5,199,204
,Dec - 2024,4,163,167
23B - Purse-snatching,Jan - 2019,3,84,87
,Feb - 2019,6,87,93
,Mar - 2019,2,77,79
,Apr - 2019,5,106,111
,May - 2019,4,103,107
,Jun - 2019,3,112,115
,Jul - 2019,3,100,103
,Aug - 2019,3,96,99
,Sep - 2019,3,87,90
,Oct - 2019,7,96,103
,Nov - 2019,2,114,116
,Dec - 2019,5,106,111
,Jan - 2020,3,104,107
,Feb - 2020,1,86,87
,Mar - 2020,4,80,84
,Apr - 2020,3,59,62
,May - 2020,4,63,67
,Jun - 2020,7,69,76
,Jul - 2020,3,75,78
,Aug - 2020,4,99,103
,Sep - 2020,3,82,85
,Oct - 2020,2,84,86
,Nov - 2020,1,75,76
,Dec - 2020,1,109,110
,Jan - 2021,,93,93
,Feb - 2021,,73,73
,Mar - 2021,,74,74
,Apr - 2021,2,85,87
,May - 2021,1,95,96
,Jun - 2021,6,96,102
,Jul - 2021,2,82,84
,Aug - 2021,2,87,89
,Sep - 2021,1,97,98
,Oct - 2021,3,87,90
,Nov - 2021,4,99,103
,Dec - 2021,4,75,79
,Jan - 2022,3,95,98
,Feb - 2022,,65,65
,Mar - 2022,,78,78
,Apr - 2022,,102,102
,May - 2022,1,99,100
,Jun - 2022,5,108,113
,Jul - 2022,6,102,108
,Aug - 2022,5,100,105
,Sep - 2022,4,96,100
,Oct - 2022,3,90,93
,Nov - 2022,1,83,84
,Dec - 2022,1,85,86
,Jan - 2023,2,98,100
,Feb - 2023,3,77,80
,Mar - 2023,2,118,120
,Apr - 2023,4,105,109
,May - 2023,4,93,97
,Jun - 2023,5,100,105
,Jul - 2023,2,94,96
,Aug - 2023,5,83,88
,Sep - 2023,6,92,98
,Oct - 2023,4,85,89
,Nov - 2023,2,95,97
,Dec - 2023,4,87,91
,Jan - 2024,4,65,69
,Feb - 2024,4,93,97
,Mar - 2024,2,91,93
,Apr - 2024,3,88,91
,May - 2024,4,78,82
,Jun - 2024,4,88,92
,Jul - 2024,5,77,82
,Aug - 2024,4,103,107
,Sep - 2024,5,80,85
,Oct - 2024,4,120,124
,Nov - 2024,3,81,84
,Dec - 2024,4,93,97
23C - Shoplifting,Jan - 2019,33,"4,002","4,035"
,Feb - 2019,33,"3,417","3,450"
,Mar - 2019,29,"3,621","3,650"
,Apr - 2019,39,"3,831","3,870"
,May - 2019,41,"4,252","4,293"
,Jun - 2019,32,"4,047","4,079"
,Jul - 2019,39,"4,333","4,372"
,Aug - 2019,45,"4,606","4,651"
,Sep - 2019,57,"4,583","4,640"
,Oct - 2019,32,"4,758","4,790"
,Nov - 2019,46,"4,755","4,801"
,Dec - 2019,44,"5,385","5,429"
,Jan - 2020,38,"5,596","5,634"
,Feb - 2020,38,"5,774","5,812"
,Mar - 2020,37,"5,327","5,364"
,Apr - 2020,33,"4,327","4,360"
,May - 2020,25,"4,993","5,018"
,Jun - 2020,27,"4,983","5,010"
,Jul - 2020,24,"5,002","5,026"
,Aug - 2020,38,"5,435","5,473"
,Sep - 2020,25,"5,095","5,120"
,Oct - 2020,30,"5,478","5,508"
,Nov - 2020,56,"5,919","5,975"
,Dec - 2020,88,"6,124","6,212"
,Jan - 2021,53,"5,977","6,030"
,Feb - 2021,59,"4,768","4,827"
,Mar - 2021,65,"5,177","5,242"
,Apr - 2021,55,"5,036","5,091"
,May - 2021,48,"5,790","5,838"
,Jun - 2021,32,"5,234","5,266"
,Jul - 2021,38,"5,456","5,494"
,Aug - 2021,69,"5,543","5,612"
,Sep - 2021,45,"5,679","5,724"
,Oct - 2021,74,"5,915","5,989"
,Nov - 2021,63,"5,788","5,851"
,Dec - 2021,69,"6,250","6,319"
,Jan - 2022,43,"6,000","6,043"
,Feb - 2022,67,"5,551","5,618"
,Mar - 2022,48,"6,233","6,281"
,Apr - 2022,60,"6,242","6,302"
,May - 2022,44,"6,266","6,310"
,Jun - 2022,48,"6,128","6,176"
,Jul - 2022,49,"6,119","6,168"
,Aug - 2022,61,"6,252","6,313"
,Sep - 2022,46,"5,943","5,989"
,Oct - 2022,50,"6,337","6,387"
,Nov - 2022,51,"6,161","6,212"
,Dec - 2022,62,"6,748","6,810"
,Jan - 2023,54,"7,055","7,109"
,Feb - 2023,58,"6,454","6,512"
,Mar - 2023,58,"6,859","6,917"
,Apr - 2023,78,"7,154","7,232"
,May - 2023,89,"7,625","7,714"
,Jun - 2023,65,"7,354","7,419"
,Jul - 2023,87,"7,640","7,727"
,Aug - 2023,86,"7,757","7,843"
,Sep - 2023,96,"7,657","7,753"
,Oct - 2023,72,"8,141","8,213"
,Nov - 2023,70,"8,088","8,158"
,Dec - 2023,89,"8,356","8,445"
,Jan - 2024,90,"8,018","8,108"
,Feb - 2024,89,"7,794","7,883"
,Mar - 2024,70,"8,165","8,235"
,Apr - 2024,72,"8,160","8,232"
,May - 2024,72,"8,229","8,301"
,Jun - 2024,70,"8,239","8,309"
,Jul - 2024,71,"7,919","7,990"
,Aug - 2024,98,"7,958","8,056"
,Sep - 2024,73,"7,721","7,794"
,Oct - 2024,96,"7,840","7,936"
,Nov - 2024,60,"7,685","7,745"
,Dec - 2024,100,"8,241","8,341"
23D - Theft From Building,Jan - 2019,5,735,740
,Feb - 2019,8,732,740
,Mar - 2019,6,850,856
,Apr - 2019,4,943,947
,May - 2019,3,"1,057","1,060"
,Jun - 2019,7,914,921
,Jul - 2019,5,"1,056","1,061"
,Aug - 2019,9,"1,072","1,081"
,Sep - 2019,12,"1,201","1,213"
,Oct - 2019,10,"1,217","1,227"
,Nov - 2019,14,"1,236","1,250"
,Dec - 2019,6,"1,306","1,312"
,Jan - 2020,1,"1,442","1,443"
,Feb - 2020,8,"1,491","1,499"
,Mar - 2020,4,"1,384","1,388"
,Apr - 2020,5,"1,026","1,031"
,May - 2020,12,"1,154","1,166"
,Jun - 2020,3,"1,151","1,154"
,Jul - 2020,6,"1,112","1,118"
,Aug - 2020,6,"1,123","1,129"
,Sep - 2020,7,"1,030","1,037"
,Oct - 2020,8,"1,178","1,186"
,Nov - 2020,7,"1,219","1,226"
,Dec - 2020,3,"1,390","1,393"
,Jan - 2021,8,"1,541","1,549"
,Feb - 2021,6,"1,280","1,286"
,Mar - 2021,6,"1,487","1,493"
,Apr - 2021,4,"1,592","1,596"
,May - 2021,6,"1,721","1,727"
,Jun - 2021,8,"1,805","1,813"
,Jul - 2021,9,"1,817","1,826"
,Aug - 2021,8,"1,775","1,783"
,Sep - 2021,3,"1,829","1,832"
,Oct - 2021,5,"1,847","1,852"
,Nov - 2021,4,"1,764","1,768"
,Dec - 2021,9,"1,794","1,803"
,Jan - 2022,8,"1,747","1,755"
,Feb - 2022,6,"1,672","1,678"
,Mar - 2022,8,"1,940","1,948"
,Apr - 2022,10,"1,837","1,847"
,May - 2022,11,"1,808","1,819"
,Jun - 2022,5,"1,875","1,880"
,Jul - 2022,12,"1,928","1,940"
,Aug - 2022,7,"1,902","1,909"
,Sep - 2022,6,"1,717","1,723"
,Oct - 2022,8,"1,741","1,749"
,Nov - 2022,15,"1,687","1,702"
,Dec - 2022,8,"1,719","1,727"
,Jan - 2023,7,"1,688","1,695"
,Feb - 2023,4,"1,661","1,665"
,Mar - 2023,10,"1,676","1,686"
,Apr - 2023,7,"1,645","1,652"
,May - 2023,4,"1,771","1,775"
,Jun - 2023,7,"1,690","1,697"
,Jul - 2023,12,"1,865","1,877"
,Aug - 2023,7,"1,919","1,926"
,Sep - 2023,8,"1,788","1,796"
,Oct - 2023,15,"1,789","1,804"
,Nov - 2023,11,"1,564","1,575"
,Dec - 2023,10,"1,727","1,737"
,Jan - 2024,11,"1,580","1,591"
,Feb - 2024,16,"1,589","1,605"
,Mar - 2024,13,"1,571","1,584"
,Apr - 2024,5,"1,621","1,626"
,May - 2024,7,"1,683","1,690"
,Jun - 2024,11,"1,573","1,584"
,Jul - 2024,8,"1,535","1,543"
,Aug - 2024,7,"1,719","1,726"
,Sep - 2024,13,"1,576","1,589"
,Oct - 2024,8,"1,518","1,526"
,Nov - 2024,10,"1,502","1,512"
,Dec - 2024,9,"1,492","1,501"
23E - Theft From Coin-Operated Machine or Device,Jan - 2019,10,72,82
,Feb - 2019,8,40,48
,Mar - 2019,5,60,65
,Apr - 2019,8,62,70
,May - 2019,7,45,52
,Jun - 2019,4,59,63
,Jul - 2019,9,84,93
,Aug - 2019,13,78,91
,Sep - 2019,17,71,88
,Oct - 2019,21,77,98
,Nov - 2019,14,93,107
,Dec - 2019,14,130,144
,Jan - 2020,25,106,131
,Feb - 2020,21,86,107
,Mar - 2020,12,86,98
,Apr - 2020,20,93,113
,May - 2020,16,73,89
,Jun - 2020,19,68,87
,Jul - 2020,27,95,122
,Aug - 2020,20,91,111
,Sep - 2020,19,68,87
,Oct - 2020,14,60,74
,Nov - 2020,19,90,109
,Dec - 2020,22,84,106
,Jan - 2021,26,83,109
,Feb - 2021,10,70,80
,Mar - 2021,16,75,91
,Apr - 2021,10,49,59
,May - 2021,15,63,78
,Jun - 2021,14,54,68
,Jul - 2021,16,69,85
,Aug - 2021,11,103,114
,Sep - 2021,12,97,109
,Oct - 2021,17,81,98
,Nov - 2021,19,106,125
,Dec - 2021,27,79,106
,Jan - 2022,21,83,104
,Feb - 2022,12,77,89
,Mar - 2022,6,82,88
,Apr - 2022,11,79,90
,May - 2022,11,60,71
,Jun - 2022,9,82,91
,Jul - 2022,13,63,76
,Aug - 2022,19,76,95
,Sep - 2022,15,81,96
,Oct - 2022,16,72,88
,Nov - 2022,17,48,65
,Dec - 2022,12,80,92
,Jan - 2023,21,66,87
,Feb - 2023,11,58,69
,Mar - 2023,9,61,70
,Apr - 2023,18,68,86
,May - 2023,14,57,71
,Jun - 2023,10,51,61
,Jul - 2023,12,57,69
,Aug - 2023,8,43,51
,Sep - 2023,6,50,56
,Oct - 2023,10,50,60
,Nov - 2023,9,30,39
,Dec - 2023,11,48,59
,Jan - 2024,7,48,55
,Feb - 2024,5,50,55
,Mar - 2024,6,55,61
,Apr - 2024,8,61,69
,May - 2024,11,76,87
,Jun - 2024,4,61,65
,Jul - 2024,13,68,81
,Aug - 2024,4,52,56
,Sep - 2024,9,58,67
,Oct - 2024,11,67,78
,Nov - 2024,12,51,63
,Dec - 2024,8,62,70
23F - Theft From Motor Vehicle,Jan - 2019,753,"7,096","7,849"
,Feb - 2019,651,"6,449","7,100"
,Mar - 2019,692,"7,063","7,755"
,Apr - 2019,684,"7,212","7,896"
,May - 2019,822,"8,662","9,484"
,Jun - 2019,855,"8,337","9,192"
,Jul - 2019,"1,000","8,907","9,907"
,Aug - 2019,853,"8,769","9,622"
,Sep - 2019,745,"8,418","9,163"
,Oct - 2019,898,"8,963","9,861"
,Nov - 2019,859,"8,775","9,634"
,Dec - 2019,829,"9,367","10,196"
,Jan - 2020,944,"9,713","10,657"
,Feb - 2020,969,"9,829","10,798"
,Mar - 2020,995,"9,533","10,528"
,Apr - 2020,904,"8,716","9,620"
,May - 2020,961,"8,824","9,785"
,Jun - 2020,975,"9,695","10,670"
,Jul - 2020,853,"9,520","10,373"
,Aug - 2020,939,"10,145","11,084"
,Sep - 2020,873,"9,937","10,810"
,Oct - 2020,913,"10,784","11,697"
,Nov - 2020,"1,073","11,664","12,737"
,Dec - 2020,"1,027","12,014","13,041"
,Jan - 2021,964,"11,375","12,339"
,Feb - 2021,871,"8,851","9,722"
,Mar - 2021,921,"9,968","10,889"
,Apr - 2021,852,"9,598","10,450"
,May - 2021,"1,070","10,587","11,657"
,Jun - 2021,943,"10,040","10,983"
,Jul - 2021,"1,043","11,087","12,130"
,Aug - 2021,"1,131","11,006","12,137"
,Sep - 2021,"1,094","10,713","11,807"
,Oct - 2021,"1,087","11,560","12,647"
,Nov - 2021,"1,120","11,514","12,634"
,Dec - 2021,"1,095","11,613","12,708"
,Jan - 2022,"1,127","11,505","12,632"
,Feb - 2022,"1,050","10,333","11,383"
,Mar - 2022,"1,088","11,146","12,234"
,Apr - 2022,"1,137","11,300","12,437"
,May - 2022,"1,164","11,917","13,081"
,Jun - 2022,"1,187","11,583","12,770"
,Jul - 2022,"1,352","11,780","13,132"
,Aug - 2022,"1,356","11,518","12,874"
,Sep - 2022,"1,313","11,208","12,521"
,Oct - 2022,"1,423","11,809","13,232"
,Nov - 2022,"1,411","10,766","12,177"
,Dec - 2022,"1,312","10,942","12,254"
,Jan - 2023,"1,412","11,264","12,676"
,Feb - 2023,"1,351","10,171","11,522"
,Mar - 2023,"1,344","10,860","12,204"
,Apr - 2023,"1,534","10,748","12,282"
,May - 2023,"1,508","10,777","12,285"
,Jun - 2023,"1,672","11,314","12,986"
,Jul - 2023,"1,805","11,472","13,277"
,Aug - 2023,"1,696","10,936","12,632"
,Sep - 2023,"1,423","10,130","11,553"
,Oct - 2023,"1,719","10,833","12,552"
,Nov - 2023,"1,678","10,240","11,918"
,Dec - 2023,"1,559","10,345","11,904"
,Jan - 2024,"1,491","10,137","11,628"
,Feb - 2024,"1,354","9,014","10,368"
,Mar - 2024,"1,559","9,420","10,979"
,Apr - 2024,"1,599","9,802","11,401"
,May - 2024,"1,541","10,236","11,777"
,Jun - 2024,"1,497","9,599","11,096"
,Jul - 2024,"1,539","9,601","11,140"
,Aug - 2024,"1,428","9,591","11,019"
,Sep - 2024,"1,407","9,317","10,724"
,Oct - 2024,"1,353","9,939","11,292"
,Nov - 2024,"1,294","9,365","10,659"
,Dec - 2024,"1,268","9,654","10,922"
23G - Theft of Motor Vehicle Parts or Accessories,Jan - 2019,35,"1,190","1,225"
,Feb - 2019,31,"1,084","1,115"
,Mar - 2019,40,"1,235","1,275"
,Apr - 2019,27,"1,224","1,251"
,May - 2019,34,"1,441","1,475"
,Jun - 2019,29,"1,293","1,322"
,Jul - 2019,25,"1,393","1,418"
,Aug - 2019,36,"1,333","1,369"
,Sep - 2019,37,"1,445","1,482"
,Oct - 2019,41,"1,450","1,491"
,Nov - 2019,32,"1,289","1,321"
,Dec - 2019,60,"1,408","1,468"
,Jan - 2020,34,"1,596","1,630"
,Feb - 2020,32,"1,825","1,857"
,Mar - 2020,36,"1,808","1,844"
,Apr - 2020,33,"1,567","1,600"
,May - 2020,37,"2,017","2,054"
,Jun - 2020,83,"2,146","2,229"
,Jul - 2020,39,"2,130","2,169"
,Aug - 2020,37,"2,236","2,273"
,Sep - 2020,46,"2,236","2,282"
,Oct - 2020,50,"2,504","2,554"
,Nov - 2020,73,"2,728","2,801"
,Dec - 2020,79,"3,398","3,477"
,Jan - 2021,81,"3,827","3,908"
,Feb - 2021,66,"3,479","3,545"
,Mar - 2021,82,"4,441","4,523"
,Apr - 2021,100,"4,466","4,566"
,May - 2021,120,"4,792","4,912"
,Jun - 2021,93,"4,736","4,829"
,Jul - 2021,106,"5,226","5,332"
,Aug - 2021,109,"5,556","5,665"
,Sep - 2021,99,"4,749","4,848"
,Oct - 2021,126,"5,086","5,212"
,Nov - 2021,115,"4,975","5,090"
,Dec - 2021,120,"4,970","5,090"
,Jan - 2022,131,"5,644","5,775"
,Feb - 2022,140,"5,726","5,866"
,Mar - 2022,170,"6,697","6,867"
,Apr - 2022,170,"6,355","6,525"
,May - 2022,150,"6,329","6,479"
,Jun - 2022,120,"6,009","6,129"
,Jul - 2022,114,"6,714","6,828"
,Aug - 2022,113,"5,666","5,779"
,Sep - 2022,109,"4,941","5,050"
,Oct - 2022,87,"4,970","5,057"
,Nov - 2022,90,"4,152","4,242"
,Dec - 2022,91,"3,932","4,023"
,Jan - 2023,85,"4,141","4,226"
,Feb - 2023,73,"3,386","3,459"
,Mar - 2023,88,"3,709","3,797"
,Apr - 2023,75,"3,375","3,450"
,May - 2023,70,"3,240","3,310"
,Jun - 2023,101,"3,037","3,138"
,Jul - 2023,113,"2,701","2,814"
,Aug - 2023,98,"2,831","2,929"
,Sep - 2023,89,"2,508","2,597"
,Oct - 2023,99,"2,550","2,649"
,Nov - 2023,137,"2,329","2,466"
,Dec - 2023,96,"2,246","2,342"
,Jan - 2024,91,"2,461","2,552"
,Feb - 2024,59,"2,359","2,418"
,Mar - 2024,72,"2,549","2,621"
,Apr - 2024,69,"2,564","2,633"
,May - 2024,68,"2,414","2,482"
,Jun - 2024,55,"2,391","2,446"
,Jul - 2024,73,"2,440","2,513"
,Aug - 2024,71,"2,389","2,460"
,Sep - 2024,83,"2,253","2,336"
,Oct - 2024,77,"2,408","2,485"
,Nov - 2024,89,"2,697","2,786"
,Dec - 2024,78,"2,573","2,651"
23H - All Other Larceny,Jan - 2019,60,"8,436","8,496"
,Feb - 2019,51,"7,616","7,667"
,Mar - 2019,46,"8,621","8,667"
,Apr - 2019,54,"8,622","8,676"
,May - 2019,56,"9,818","9,874"
,Jun - 2019,66,"9,257","9,323"
,Jul - 2019,75,"10,112","10,187"
,Aug - 2019,72,"10,301","10,373"
,Sep - 2019,81,"10,105","10,186"
,Oct - 2019,74,"10,752","10,826"
,Nov - 2019,69,"9,998","10,067"
,Dec - 2019,102,"11,072","11,174"
,Jan - 2020,89,"10,692","10,781"
,Feb - 2020,99,"10,293","10,392"
,Mar - 2020,64,"10,185","10,249"
,Apr - 2020,79,"9,772","9,851"
,May - 2020,106,"10,939","11,045"
,Jun - 2020,99,"11,353","11,452"
,Jul - 2020,90,"11,573","11,663"
